i,real_index,MAE,Phi,SMI
113,1290,0.25179583,74.82041667,CC(=NN)C#C
114,5925,0.25121778,74.87822238,CN(C)C(=O)C=O
115,7181,0.20445825,79.55417495,CNC1CC(C)C1
116,4903,0.21999858,78.00014177,ON=CC(=C)CF
117,6048,0.21313156,78.68684396,FC(=C)C(=C)C=C
118,2175,0.21061960,78.93804044,CC1OC1C=O
119,3502,0.25761506,74.23849374,CCC#CC(F)=C
120,316,0.33733231,66.26676934,COCC#N
121,4825,0.23910510,76.08948982,CC=CN(N)C=N
122,6319,0.33197990,66.80201020,CC1(CCC1)C#C
123,1809,0.20734689,79.26531062,CNCC=NN
124,5492,0.15705578,84.29442201,CC(O)C(F)C=O
125,827,0.21116253,78.88374749,CN(C)C(N)=O
126,2919,0.18553149,81.44685069,CC(C)CNC=N
127,7585,0.19432663,80.56733664,C=C1CNCC=C1
128,5854,0.18794260,81.20573955,CN(O)C(=N)CN
129,2890,0.17614189,82.38581055,CCOCC(F)F
130,6716,0.25300317,74.69968333,C=C1OC(=O)C=C1
131,8632,0.17864626,82.13537405,FC1CC(=O)C1F
132,7154,0.29648322,70.35167833,CC12CCC(C1)O2
133,8327,0.21693132,78.30686829,Cn1cncc1O
134,6348,0.16348991,83.65100939,FCCC1(F)CC1
135,7444,0.16163657,83.83634269,FC1COC=CC1
136,3986,0.14945760,85.05424028,CC(CO)OC=O
137,599,0.19241898,80.75810228,CCCC(F)=C
138,5476,0.21797949,78.20205143,CC(C)C(O)C#N
139,4346,0.18237434,81.76256562,CONC(=N)CF
140,158,0.30368013,69.63198658,CN(C)C=O
141,5694,0.17984442,82.01555837,CC(=O)C(F)C=C
142,3857,0.18323437,81.67656348,CCC(F)CCN
143,4020,0.25222770,74.77722988,CCCC(C)C=C
144,3497,0.23458644,76.54135564,NC(=O)C#CCF
145,4423,0.18797353,81.20264723,COC(=C)CC=C
146,4267,0.19621586,80.37841410,CCC(=C)CNC
147,7086,0.22689212,77.31078754,Cc1cc(C)on1
148,8605,0.18167062,81.83293785,NC1CC(N)C1F
149,946,0.19481737,80.51826302,CCC(O)CN
150,7456,0.21173833,78.82616694,CC1CCC=NO1
151,1665,0.23179945,76.82005512,CCCCCF
152,3466,0.28876080,71.12392005,CC(C)C#CC=O
153,8329,0.23331595,76.66840491,Cc1cncn1N
154,4327,0.19120214,80.87978649,CCNC(=N)CC
155,6634,0.20026647,79.97335273,CC1CC(C)C=C1
156,3470,0.21996875,78.00312545,CC(O)C#CC=O
157,2425,0.24860212,75.13978766,CC(C)(O)C(F)F
158,564,0.22058228,77.94177209,CC(C)NC=O
159,6413,0.18147313,81.85268688,OCC1(O)CC1O
160,3285,0.19682069,80.31793088,CC(C)C=CCO
161,2598,0.23678652,76.32134785,CC(F)=CC(F)F
162,251,0.32451880,67.54811994,CC1CNC1
163,2474,0.44009610,55.99038961,NC(=O)C(F)(F)F
164,7289,0.24597132,75.40286755,CC(N)CC1CO1
165,3804,0.37641446,62.35855401,OC1C(O)C1(F)F
166,8099,0.19787823,80.21217715,On1onnc1=O
167,5388,0.20115970,79.88402966,CC(N)C(N)CF
168,1424,0.22078268,77.92173174,N=c1nc[nH]o1
169,7992,0.42544254,57.45574613,C=C1OCOC1=C
170,7402,0.17439059,82.56094074,O=C1COCCN1
171,367,0.27978449,72.02155146,ON=CCF
172,3380,0.18220414,81.77958635,NC(=N)C=CCF
173,4968,0.24837236,75.16276365,CC=CC(=C)C#C
174,5731,0.17557547,82.44245265,NN(C=O)C(N)=N
175,5105,0.21245752,78.75424751,CC(NO)=NC=C
176,6159,0.24343683,75.65631658,CC(=NO)C(O)=O
177,4197,0.31408718,68.59128226,CC(CCN)C#C
178,5831,0.16659656,83.34034380,CC(F)C(=O)NN
179,3089,0.17116719,82.88328095,FC(=C)CNC=N
