N_ele,N_states,sum_f_k
38,994,29.6424
36,871,27.4275
34,756,25.2547
38,1134,29.7903
38,1064,29.7944
38,1064,29.763
38,994,29.7631
38,924,29.8124
38,1064,29.7136
38,994,29.7138
38,1134,29.7964
38,994,29.8009
38,924,29.7793
36,1066,27.5733
36,936,27.5607
34,816,25.3858
34,876,25.5028
40,1500,31.8522
40,1275,32.0461
40,1425,31.9192
40,1200,32.0923
40,1350,31.9448
40,1125,32.0933
40,1275,32.0788
40,1050,32.2513
40,1350,31.8722
40,1275,31.8616
40,1200,31.8978
40,1200,31.9496
40,1125,31.9338
40,1125,32.084
40,1050,32.0647
40,1350,32.064
40,1275,32.0629
40,1200,32.0181
40,1200,32.0409
40,1125,32.0083
40,1050,31.999
40,1350,32.0762
40,1125,32.2722
40,1200,32.1447
40,1125,32.1214
40,1350,31.9419
40,1275,32.0374
38,1274,29.642
38,1064,29.8108
38,1134,29.6491
36,1001,27.4202
38,1064,29.7316
36,936,27.5051
38,924,29.8102
36,806,27.5766
38,1134,29.6533
38,1064,29.6386
38,924,29.6269
36,806,27.3893
38,1134,29.5994
36,1066,27.5375
36,871,27.6993
36,936,27.5499
36,871,27.5217
38,1274,29.9001
38,1204,29.9408
38,1134,29.9695
38,1064,30.0814
36,1066,27.6306
36,936,27.6407
34,816,25.4496
34,876,25.5405
40,1500,31.643
40,1425,31.7233
40,1350,31.7123
40,1275,31.8771
40,1425,31.8006
40,1350,31.8628
40,1425,31.7386
40,1350,31.8075
40,1275,31.7917
40,1200,31.9596
40,1350,31.7866
40,1275,31.8593
40,1200,31.8267
40,1125,31.9909
40,1425,31.7874
38,1274,29.4713
38,1134,29.4658
36,1001,27.2803
38,1204,29.5755
38,1064,29.6011
36,936,27.3666
38,1134,29.5976
38,994,29.5963
36,871,27.3982
38,1134,29.5819
38,1064,29.6596
38,1134,29.5339
36,1066,27.3956
36,1001,27.4907
36,936,27.5358
40,1500,31.6648
40,1425,31.8381
40,1350,31.9326
40,1200,32.1226
38,1274,29.433
38,1134,29.5319
38,1134,29.6331
38,1134,29.6516
38,1064,29.6161
38,994,29.8042
38,924,29.7896
38,1204,29.56
38,1134,29.6411
36,1066,27.2286
36,936,27.2004
36,1001,27.2934
36,936,27.292
36,871,27.2564
36,936,27.2337
36,871,27.1968
36,806,27.1636
36,806,27.1442
36,936,27.3454
36,871,27.334
36,806,27.3269
36,871,27.2631
36,806,27.2355
36,806,27.2972
36,741,27.2109
36,806,27.2104
36,741,27.1819
50,2451,40.225
50,2356,40.3319
50,2261,40.3864
50,2166,40.5295
50,2356,40.2989
50,2261,40.3773
50,2166,40.432
50,2071,40.5688
50,2261,40.3444
50,2166,40.4402
50,2071,40.4719
50,1976,40.5978
50,2166,40.5137
50,2071,40.5882
50,1976,40.6279
50,1881,40.7647
50,1881,40.7934
50,1786,40.8478
50,1691,40.851
50,1596,40.9377
50,1596,41.0509
50,1501,41.0987
50,1406,41.0636
50,1311,41.1865
50,2356,40.3657
50,2261,40.51
48,2160,38.0895
48,1980,38.1291
46,1802,35.9121
48,2070,38.1517
48,1980,38.1853
48,1800,38.2346
46,1632,35.9828
48,1890,38.3628
48,1710,38.3909
46,1547,36.1297
48,1620,38.59
48,1440,38.5906
46,1292,36.3211
48,1350,38.8361
48,1170,38.7734
46,1037,36.5166
46,1887,36.0505
46,1802,36.0972
46,1717,36.1358
46,1632,36.2972
46,1377,36.5083
46,1122,36.7232
50,2451,40.2573
50,2356,40.3486
50,2261,40.3768
50,2166,40.512
50,2356,40.3302
50,2261,40.4151
50,2166,40.4383
50,2071,40.5817
50,2261,40.3983
50,2166,40.4428
50,2071,40.5276
50,1976,40.6534
50,2166,40.5605
50,2071,40.6496
50,1976,40.6683
50,1881,40.8363
50,1881,40.7755
50,1786,40.8875
50,1691,40.8921
50,1596,41.0341
50,2356,40.4557
50,2261,40.5624
50,2166,40.5494
50,2071,40.7395
50,1786,40.9489
50,2261,40.5611
50,2166,40.6559
50,2071,40.6907
50,1976,40.8291
50,1691,41.0027
50,2356,40.4195
50,2261,40.5326
50,2356,40.5888
50,2261,40.6779
50,2166,40.7092
50,2071,40.8364
48,2160,38.1043
48,1980,38.112
46,1802,35.9536
48,2070,38.1872
48,1980,38.2079
48,1800,38.2298
46,1632,36.0437
48,1890,38.3876
48,1710,38.3844
46,1547,36.1907
48,1620,38.5797
48,1440,38.5846
46,1292,36.3726
48,1980,38.2915
48,1890,38.2842
48,1980,38.1895
48,1980,38.3715
48,1800,38.3433
48,1890,38.2901
48,2070,38.4165
48,1890,38.4243
46,1717,36.2312
48,1890,38.459
48,1800,38.4618
46,1887,36.0751
46,1802,36.1315
46,1717,36.167
46,1632,36.3182
46,1377,36.5098
46,1802,36.3534
48,2160,38.1358
48,2070,38.2249
48,1980,38.2642
48,1890,38.3889
48,1980,38.1691
48,1800,38.3021
48,1710,38.4508
48,1980,38.2491
48,1890,38.3709
48,1800,38.3474
48,1710,38.5033
48,1890,38.3268
48,1800,38.4083
48,1710,38.4602
48,1620,38.5421
48,1800,38.2547
48,1710,38.3366
48,1620,38.3329
48,1530,38.4733
48,1890,38.4208
48,1800,38.4995
48,1710,38.5047
48,1620,38.6402
48,2070,38.3299
